"","station","glatos_array","station_no","consecutive_deploy_no","intend_lat","intend_long","deploy_lat","deploy_long","recover_lat","recover_long","deploy_date_time","recover_date_time","bottom_depth","riser_length","instrument_depth","ins_model_no","glatos_ins_frequency","ins_serial_no","code_map","code_map_comment","deployed_by","comments","glatos_seasonal","glatos_project","glatos_vps","year","inside"
"76","HAM-032","HAM",32,12,NA,NA,43.27973,-79.89346,NA,NA,2024-10-31 12:55:00,2025-10-02 17:00:00,1.85,NA,NA,"VR2W",69,131523,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024",TRUE
"77","HAM-032","HAM",32,13,NA,NA,43.27973,-79.89346,NA,NA,2025-10-02 17:05:00,NA,1.85,NA,NA,"VR2W",69,131523,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"78","HAM-033","HAM",33,6,NA,NA,43.29208,-79.88394,NA,NA,2022-04-05 18:30:00,2022-09-28 18:20:00,0.8,NA,NA,"VR2W",69,127828,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"79","HAM-033","HAM",33,8,NA,NA,43.29215,-79.88395,NA,NA,2023-04-04 18:40:00,2023-12-20 18:50:00,NA,NA,NA,"VR2W-Tx",69,487629,"Generation 2 Generation-2",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"80","HAM-033","HAM",33,10,NA,NA,43.29215,-79.88395,NA,NA,2024-03-07 18:45:00,2024-08-22 15:25:00,0.7,NA,NA,"VR2W-Tx",69,487630,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"81","HAM-033","HAM",33,12,NA,NA,43.29215,-79.88395,NA,NA,2025-08-28 15:25:00,NA,0.7,NA,NA,"VR2W-Tx",69,487630,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"82","HAM-034","HAM",34,11,NA,NA,43.27142,-79.80812,NA,NA,2022-09-15 18:13:00,2023-08-16 15:25:00,1.6,NA,NA,"VR2W",69,121993,"MAP-115",NA,NA,NA,"No","HAMLO","No","2022",TRUE
"83","HAM-034","HAM",34,12,NA,NA,43.27142,-79.80812,NA,NA,2023-08-16 15:25:00,2024-08-08 15:20:00,NA,NA,NA,"VR2W",69,121993,"MAP-115",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"84","HAM-034","HAM",34,13,NA,NA,43.27142,-79.80812,NA,NA,2024-08-08 15:40:00,2025-08-06 15:50:00,NA,NA,NA,"VR2W",69,121993,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",TRUE
"85","HAM-034","HAM",34,14,NA,NA,43.27142,-79.80812,NA,NA,2025-08-06 15:50:00,NA,1.2,0.3,NA,"VR2W",69,121993,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",TRUE
"86","HAM-035","HAM",35,7,NA,NA,43.26231,-79.77232,NA,NA,2022-10-18 14:59:00,2023-10-06 19:35:00,2,NA,NA,"VR2W",69,131522,"MAP-115","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2022",FALSE
"87","HAM-035","HAM",35,8,NA,NA,43.26231,-79.77232,NA,NA,2023-10-06 19:35:00,2024-09-03 18:30:00,NA,NA,NA,"VR2W",69,137956,"Generation-2",NA,NA,NA,"No","HAMLO","No","2023",FALSE
"88","HAM-035","HAM",35,9,NA,NA,43.26231,-79.77232,NA,NA,2024-09-03 18:35:00,2025-08-28 14:00:00,2,NA,NA,"VR2W",69,137956,"Generation-2",NA,NA,NA,"No","HAMLO","No","2024",FALSE
"89","HAM-035","HAM",35,10,NA,NA,43.26231,-79.77232,NA,NA,2025-08-28 14:10:00,NA,2,NA,NA,"VR2W",69,137956,NA,"code map not available (receiver currently deployed)",NA,NA,"No","HAMLO","No","2025",FALSE
"90","HAM-036","HAM",36,11,NA,NA,43.27139,-79.8695,NA,NA,2022-08-03 01:13:00,2023-09-14 16:01:00,NA,NA,NA,"VR2W",69,131493,"MAP-114","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2022",TRUE
"91","HAM-036","HAM",36,12,NA,NA,43.27139,-79.8695,NA,NA,2023-09-14 16:22:00,2024-09-03 19:05:00,NA,NA,NA,"VR2W",69,131493,"MAP-114",NA,NA,NA,"No","HAMLO","No","2023",TRUE
"92","HAM-036","HAM",36,13,NA,NA,43.27139,-79.8695,NA,NA,2024-09-03 19:08:00,2025-08-01 15:30:00,NA,NA,NA,"VR2W",69,131493,"Generation-2","error 1 initialization occurred between deploy and recover",NA,NA,"No","HAMLO","No","2024",TRUE
"93","HAM-036","HAM",36,14,NA,NA,43.27139,-79.8695,NA,NA,2025-08-01 15:30:00,2025-11-19 18:30:00,2.7,0.5,NA,"VR2W",69,131493,"Generation-2",NA,NA,NA,"No","HAMLO","No","2025",TRUE
